experiment_id,description,Bleach Charge Passed,delta E00,"edot 
concentration (M)",deposition potential (V),deposition time (s)
10000874,Training,0.634036306,4.423638278,0.03,1.040741426,1.542247632
10000871,Training,0.487954869,3.035407012,0.03,0.980088091,1.152476253
10000868,Training,0.813517482,5.024680061,0.03,1.417941178,11.79534411
10000865,Training,0.128212552,0.672891551,0.03,0.842818578,5.874526581
10000862,Training,0.13413755,1.645340585,0.03,0.866789927,4.302646073
10000859,Training,0.834122902,7.103112719,0.03,1.194614655,59.60546757
10000856,Training,0.792607165,3.468944527,0.03,1.464067178,1.973997251
10000853,Training,0.845229218,11.24153556,0.03,0.942949728,36.37135724
10000850,Training,0.730234074,4.717167251,0.03,1.302078029,16.80250948
10000847,Training,0.697819656,6.229782591,0.03,1.290493376,27.55509538
10000844,Training,0.802049226,7.470526349,0.03,1.22126257,45.8954972
10000841,Training,1.154786614,10.63355321,0.03,1.556551081,80.30651025
10000838,Training,1.125221966,5.257736804,0.03,1.54445486,3.141003597
10000835,Training,0.978611305,6.350163474,0.03,1.399574718,19.99647276
10000832,Training,0.991847401,7.836381489,0.03,1.072247862,9.942700152
10000829,Training,0.843193347,4.726981697,0.03,1.103574943,3.797092889
10000810,Training,0.598215629,1.90915917,0.01,1.120957751,4.800255552
10000807,Training,0.642637406,0.536995121,0.01,1.309069321,3.319612441
10000804,Training,0.725985493,3.050363222,0.01,1.476284328,80.64333778
10000801,Training,0.14512127,1.257342906,0.01,1.013504235,2.832101146
10000798,Training,0.489560031,1.286666582,0.01,1.155223307,2.145634869
10000795,Training,0.557276732,1.511556099,0.01,1.50705351,1.044500861
10000792,Training,0.407900009,1.549496238,0.01,0.996982271,28.19759552
10000789,Training,0.538277624,1.036072496,0.01,1.2315587,13.20309211
10000786,Training,0.800550353,2.247216232,0.01,1.362921311,50.50406742
10000783,Training,0.702556801,1.654847411,0.01,1.096680145,66.35487927
10000780,Training,0.190768776,1.645571514,0.01,0.898103037,7.539866894
10000777,Training,0.208379828,0.836020784,0.01,0.912147792,41.14075221
10000774,Training,0.683000882,0.524058943,0.01,1.252344976,6.501574726
10000771,Training,0.70797176,1.481273952,0.01,1.580441339,1.630583861
10000768,Training,0.179248415,1.719663108,0.01,0.832403577,20.65278532
10000765,Training,0.639750696,1.013637043,0.01,1.413812047,15.28245176
10000666,Training,2.221613715,17.02124653,0.1,0.96,56.9
10000663,Training,1.282230512,22.15005312,0.1,1.26,4.2
10000660,Training,3.036894115,13.90102569,0.1,1.07,50.2
10000657,Training,1.504366282,21.13255215,0.1,1.38,6.6
10000654,Training,0.27695286,0,0.1,0.89,4.9
10000651,Training,0.376127951,0,0.1,0.9,1.3
10000648,Training,1.313409752,19.8592108,0.1,1.41,2.6
10000645,Training,0.980163746,18.90243966,0.1,1.02,8.1
10000642,Training,1.049852181,12.58864948,0.1,1.15,1.8
10000639,Training,0.678668388,2.93930697,0.1,0.83,19.6
10000636,Training,1.92057435,13.84305638,0.1,1.52,15
10000633,Training,1.742267966,8.47760379,0.1,1.34,94.7
10000630,Training,1.554583905,11.15469852,0.1,1.56,33.7
10000627,Training,1.646379092,20.38620672,0.1,1.22,12.2
10000624,Training,0.948319326,9.371989194,0.1,1.1,1.2
10000621,Training,2.910642024,9.189772968,0.1,1.48,27.6
